x,y,yaw,s,kappa,v_ref
47.8516,-13.7157,-3.22609,75.2500,0.00173,1.500
47.6138,-13.6956,-3.22559,75.5000,0.00239,1.500
47.3761,-13.6757,-3.22494,75.7500,0.00303,1.500
47.1383,-13.6559,-3.22414,76.0000,0.00364,1.500
46.9005,-13.6363,-3.22319,76.2500,0.00423,1.500
46.6626,-13.6170,-3.22211,76.5000,0.00479,1.500
46.4245,-13.5979,-3.22089,76.7500,0.00533,1.500
46.1864,-13.5792,-3.21955,77.0000,0.00584,1.500
45.9480,-13.5607,-3.21809,77.2500,0.00633,1.500
45.7094,-13.5426,-3.21651,77.5000,0.00679,1.500
45.4706,-13.5249,-3.21483,77.7500,0.00723,1.500
45.2316,-13.5076,-3.21304,78.0000,0.00763,1.500
44.9923,-13.4907,-3.21115,78.2500,0.00802,1.500
44.7527,-13.4742,-3.20918,78.5000,0.00837,1.500
44.5128,-13.4582,-3.20712,78.7500,0.00870,1.500
44.2726,-13.4427,-3.20498,79.0000,0.00900,1.500
44.0320,-13.4277,-3.20277,79.2500,0.00928,1.500
43.7910,-13.4132,-3.20050,79.5000,0.00953,1.500
43.5497,-13.3993,-3.19816,79.7500,0.00975,1.500
43.3079,-13.3859,-3.19577,80.0000,0.00995,1.500
43.0658,-13.3730,-3.19333,80.2500,0.01013,1.500
42.8232,-13.3608,-3.19084,80.5000,0.01028,1.500
42.5802,-13.3491,-3.18832,80.7500,0.01040,1.500
42.3367,-13.3380,-3.18577,81.0000,0.01050,1.500
42.0927,-13.3276,-3.18319,81.2500,0.01058,1.500
41.8483,-13.3177,-3.18059,81.5000,0.01063,1.500
41.6034,-13.3085,-3.17797,81.7500,0.01067,1.500
41.3581,-13.2999,-3.17534,82.0000,0.01068,1.500
41.1122,-13.2919,-3.17271,82.2500,0.01066,1.500
40.8658,-13.2845,-3.17008,82.5000,0.01063,1.500
40.6189,-13.2778,-3.16746,82.7500,0.01058,1.500
40.3715,-13.2718,-3.16485,83.0000,0.01050,1.500
40.1236,-13.2663,-3.16225,83.2500,0.01041,1.500
39.8752,-13.2615,-3.15967,83.5000,0.01030,1.500
39.6263,-13.2573,-3.15712,83.7500,0.01017,1.500
39.3768,-13.2538,-3.15459,84.0000,0.01002,1.500
39.1269,-13.2508,-3.15211,84.2500,0.00985,1.500
38.8764,-13.2485,-3.14966,84.5000,0.00967,1.500
38.6254,-13.2468,-3.14725,84.7500,0.00946,1.500
38.3739,-13.2457,-3.14489,85.0000,0.00925,1.500
